status,city,property_type,management_by_landlord,data_id,areacode,sqft,listing_date,platform,locality,address,lat,txn_type,lng,building_name,desc
UNDER CONSTRUCTION,Navi Mumbai,OFFICE AND RETAIL,YES,718,400705,122000,2016-03-18T20:06:18Z,purpleyo,Vashi,"# 7, Arenja Corner, Palm Beach Road, Sector 17, Vashi, Navi Mumbai",19.073486,SALE,73.00206,Shah Signature,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,1010,400051,1000000,2016-05-18T09:35:50Z,purpleyo,Bandra Kurla Complex,"G Block, Bandra Kurla Complex, Mumbai",19.061195,LEASE/SALE,72.86793,Parinee Crescenzo,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3103,400059,52266,2016-06-27T07:56:38Z,purpleyo,Andheri East,"Marol Maroshi Road, Vijay Nagar, MIDC, Marol, Andheri East, Mumbai",19.12276,LEASE,72.8797,Imperium,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,870,400051,656686,2016-05-11T06:57:09Z,purpleyo,Bandra Kurla Complex,"# C-54 & 55, G Block, Bandra Kurla Complex Road, Mumbai",19.069412,SALE,72.8696,First International Financial Center,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,NO,2333,400614,140000,2016-04-13T09:45:12Z,purpleyo,CBD Belapur,"Sector 15, CBD Belapur, Navi Mumbai",19.009077,LEASE,73.035866,NMS Titanium,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3084,400071,60000,2016-06-29T11:34:23Z,purpleyo,Chembur,"VN Purav Marg, Swastik Park, Chembur, Mumbai",19.054443,LEASE,72.88716,Corporate Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,304,400058,442157,2016-06-03T06:17:52Z,purpleyo,Andheri East,"HDIL Building, Sahar Road, Andheri East, Mumbai",19.113638,LEASE/SALE,72.84684,Kaledonia,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3122,400053,28000,2016-05-13T13:16:36Z,purpleyo,Andheri West,"# B-53, New Link Road, Andheri West, Mumbai",19.138403,LEASE,72.833496,Indus House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3096,400058,5200,2016-06-27T07:55:32Z,purpleyo,Andheri East,"# 18, Road Number 9, MIDC Industry Estate, Andheri East, Mumbai",19.120287,LEASE,72.86934,Hara Street,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2388,400072,267909,2016-05-23T10:34:33Z,purpleyo,Powai,"Shaki Vihar Complex Road, Chandivali, Powai, Mumbai",19.11456,LEASE,72.88939,Light Hall - Wing B,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,725,400036,572000,2016-05-10T06:10:40Z,purpleyo,Turbhe,"Thane-Belapur Road, Turbhe MIDC, Turbhe, Navi Mumbai",19.07512,LEASE,73.019646,Arihant Aura - Block C,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,525,400057,57640,2016-02-01T10:37:27Z,purpleyo,Bandra Kurla Complex,"# C-22, Bandra Kurla Complex, Bandra East, Mumbai",19.054735,LEASE,72.85287,Sunteck Certainty,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,724,400036,210870,2016-05-10T06:10:02Z,purpleyo,Turbhe,"Thane-Belapur Road, Turbhe MIDC, Turbhe, Navi Mumbai",19.075628,LEASE/SALE,73.01983,Arihant Aura - Block B,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3075,400059,75000,2016-06-24T07:07:48Z,purpleyo,Andheri East,"Andheri Kurla Road, Marol Cooperative Industrial Estate Road, Gamdevi, Marol, Andheri East, Mumbai",19.109463,LEASE/SALE,72.88381,Aarpee Chambers,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,1132,400708,490500,2016-02-02T10:35:10Z,purpleyo,Airoli,"# I.T.5, MIDC, Airoli Knowledge Park, Airoli, Navi Mumbai",19.174753,LEASE,72.992004,Gigaplex Building 2,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3262,400064,71200,2016-05-25T12:24:33Z,purpleyo,Malad West,"Kach Pada Road, Navy Colony, Malad West, Mumbai",19.18836,SALE,72.83829,Synergy Court,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,3073,400076,204000,2016-05-09T07:45:48Z,purpleyo,Powai,"Saki Vihar Road, Powai, Mumbai",19.122803,LEASE,72.891426,ATL Corporate Park,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,1135,400708,490500,2016-02-02T10:43:09Z,purpleyo,Airoli,"# I.T.5, MIDC, Airoli Knowledge Park, Airoli, Navi Mumbai",19.175034,LEASE,72.99228,Gigaplex Building 4,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2559,400064,124434,2016-03-18T07:37:43Z,purpleyo,Malad West,"Goregaon - Mulund Link Road, Malad West, Mumbai",19.173557,SALE,72.83887,First Avenue,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3108,400058,36000,2016-06-29T07:04:45Z,purpleyo,Andheri East,"Road Number 11, Andheri East, Mumbai",19.122034,LEASE/SALE,72.86898,,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3234,400053,130000,2016-05-23T12:27:00Z,purpleyo,Andheri West,"KL Walawalkar Marg, Veera Desai Industrial Estate, Andheri West, Mumbai",19.135506,LEASE,72.83231,Sri Krishna,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2407,400057,25000,2016-06-24T12:38:35Z,purpleyo,Vile Parle East,"Ram Mandir Road, Vile Parle East, Mumbai",19.099129,SALE,72.84559,Narang Continuum,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3117,400047,10500,2016-06-07T07:12:09Z,purpleyo,Vile Parle West,"# 52, Gulmohar Road, Ville Parle West, Mumbai",19.114573,LEASE,72.83658,Gazebo House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,NO,2782,400069,36973,2016-05-20T12:05:04Z,purpleyo,Andheri East,"# 6, Chakala Industrial Area (MIDC), Andheri East, Mumbai",19.119894,LEASE/SALE,72.86893,Business Park,
UNDER CONSTRUCTION,Navi Mumbai,OFFICE AND RETAIL,YES,3570,410206,28000,2016-06-29T12:35:37Z,purpleyo,Panvel,"Mahatma Phule Road, Panvel, Navi Mumbai",18.99004,SALE,73.11009,City Centre,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2350,400098,13200,2016-06-03T12:15:41Z,purpleyo,Santacruz East,"CST Road, Santacruz East, Mumbai",19.073496,SALE,72.867874,Trustwell Spaces,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,581,400059,208000,2016-05-19T11:25:16Z,purpleyo,Andheri East,"Andheri Kurla Road, JB Nagar, Andheri East, Mumbai",19.110752,LEASE,72.8707,Corporate Centre,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3259,400071,59400,2016-05-24T13:27:49Z,purpleyo,Chembur,"VN Purav Marg, Chembur, Mumbai",19.053947,LEASE,72.89765,Origin 108,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2600,400072,36000,2016-06-20T08:39:10Z,purpleyo,Powai,"Saki Vihar Road, Chandivali, Powai, Mumbai",19.117348,LEASE,72.88959,55 Corporate Avenue,
