status,city,property_type,management_by_landlord,data_id,areacode,sqft,listing_date,platform,locality,address,lat,txn_type,lng,building_name,desc
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3118,400703,250500,2016-06-30T07:19:59Z,purpleyo,Vashi,"Sector 30A, Vashi, Navi Mumbai",19.065767,LEASE,72.99961,Haware Infotech Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3290,400059,41400,2016-05-27T12:26:25Z,purpleyo,Andheri East,"Marol Cooperative Industrial Estate Road, Gamdevi, Marol, Andheri East, Mumbai",19.110012,SALE,72.883675,Phenomenal House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3115,400063,126000,2016-06-28T09:39:26Z,purpleyo,Goregaon East,"Dr Ambedkar Chowk, Hanuman Tekdi, Goregaon East, Mumbai",19.172594,LEASE,72.85764,Garuda House Atlanta Estate,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,576,400013,600000,2016-03-09T06:59:02Z,purpleyo,Lower Parel,"Senapati Bapat Marg, Lower Parel, Mumbai",18.998928,LEASE/SALE,72.82877,Peninsula Business Park Tower A,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,782,400005,740520,2016-01-11T06:54:56Z,purpleyo,Cuffe Parade,"Centre 1 Building, Cuffe Parade, Mumbai",18.91544,LEASE,72.817566,World Trade Centre - MVIRDC,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3071,400059,70000,2016-06-24T12:39:29Z,purpleyo,Andheri East,"Andheri Kurla Road, Andheri East, Mumbai",19.107864,LEASE,72.88281,Western House,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,1133,400708,418000,2016-02-02T10:36:49Z,purpleyo,Airoli,"# I.T.5, MIDC, Airoli Knowledge Park, Airoli, Navi Mumbai",19.173841,LEASE,72.991974,Gigaplex Building 1,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2425,400101,33000,2016-05-31T09:06:35Z,purpleyo,Kandivali East,"Thakur Shyamnarayan Marg, Kanakiya, Thakur Village, Kandivali East, Mumbai",19.20892,LEASE,72.87254,Thakur Mall,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2379,400098,82500,2016-05-31T06:34:57Z,purpleyo,Bandra Kurla Complex,"BKC Road, Bandra Kurla Complex, Mumbai",19.072489,SALE,72.87008,Pinnacle Corporate Park Wing - A,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,3334,400036,185370,2016-06-07T12:35:55Z,purpleyo,Turbhe,"MIDC Main Road, Indira Nagar, Turbhe, Navi Mumbai",19.071297,LEASE,73.02866,Everest Nivara Infotech Park I - Wing B,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,952,400070,782000,2016-02-25T12:21:31Z,purpleyo,Kurla West,"LBS Marg, Kurla West, Mumbai",19.086037,LEASE/SALE,72.890205,Phoenix Art Guild House,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,946,400708,960000,2016-01-29T11:27:28Z,purpleyo,Airoli,"Gut 31, Airoli, Thane Belapur Road, MIDC, Navi Mumbai",19.17017,LEASE,73.00157,Reliable Tech Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2352,400093,128250,2016-04-18T11:42:59Z,purpleyo,Andheri East,"# D-13, Street 21, MIDC, Andheri East, Mumbai",19.119482,LEASE,72.87585,The Great Oasis,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3140,400052,14340,2016-05-16T11:17:02Z,purpleyo,Khar West,"# 1201, Lane Number 13, Khar West, Mumbai",19.071695,LEASE,72.83052,Links,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,3153,400078,1040000,2016-06-23T07:45:20Z,purpleyo,Bhandup,"Lal Bahadur Shastri Marg, Ganesh Nagar, Bhandup West, Mumbai",19.141739,SALE,72.93146,Smash Hit,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,2788,400030,143443,2016-03-29T09:27:09Z,purpleyo,Worli ,"Pandurang Budhkar Marg, Lower Parel, Worli, Mumbai",19.006847,LEASE,72.82491,Century Esplanade,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,2377,400058,40000,2016-06-03T12:17:30Z,purpleyo,Andheri East,"Saki Vihar Road, Ganesh Nagar, Marol, Andheri East, Mumbai",19.112276,LEASE,72.88815,T Square,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3181,400050,18800,2016-05-18T12:54:30Z,purpleyo,Bandra West,"# C-26/27, Linking Road, Bandra West, Mumbai",19.06006,SALE,72.83638,V.N Sphere,
CONSTRUCTION YET TO COMMENCE,Navi Mumbai,OFFICE AND RETAIL,NO,2421,410210,194700,2016-06-07T07:59:30Z,purpleyo,Kharghar,"# 26, Sector 36, Kharghar, Navi Mumbai",19.070877,LEASE,73.082535,Kamdhenu Commerz,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3097,400058,20520,2016-05-12T12:33:01Z,purpleyo,Andheri West,"# 40, Swami Vivekanand Road, Kevni Pada, Amboli, Andheri West, Mumbai",19.127316,LEASE,72.8468,Krimson Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,980,400072,456000,2016-06-02T12:44:38Z,purpleyo,Sakinaka,"Mathuradas Vassanji Road, Sakinaka, Mumbai",19.1032,LEASE,72.8847,Raiaskaran Tech Park - Tower 1,
NEARING COMPLETION,Mumbai,OFFICE,YES,3238,400063,45500,2016-05-24T13:30:09Z,purpleyo,Goregaon East,"IITC, Hanuman Tekdi, Goregaon East, Mumbai, Maharashtra",19.169603,LEASE,72.85503,,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2731,400013,910196,2016-06-01T13:12:37Z,purpleyo,Lower Parel,"Senapati Bapat Marg, Babasaheb Ambedkar Nagar, Lower Parel, Mumbai",19.009676,LEASE,72.83542,Indiabulls Finance Centre - Tower 3,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,859,400070,600000,2016-06-23T10:33:11Z,purpleyo,Kurla West,"CST Road, BKC Annexe, LBS Marg, Kapadia Nagar, Kurla West, Mumbai",19.075481,SALE,72.87672,Kanakia Zillion,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,399,400036,150000,2016-05-20T11:57:41Z,purpleyo,Turbhe,"# D-263, TTC Industrial Area, Turbhe MIDC, Turbhe, Navi Mumbai",19.069408,LEASE/SALE,73.0202,Bluechip Corporate Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,528,400059,77312,2016-02-01T10:19:54Z,purpleyo,Andheri West,"Swami Vivekanand Road, Amboli, Andheri West, Mumbai",19.125174,LEASE/SALE,72.84658,Sunteck Grandeur,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1527,400070,572000,2016-03-31T09:42:31Z,purpleyo,Kurla West,"Equinox Business Park, Lal Bahadur Shastri Road, Kurla West, Mumbai",19.071507,LEASE,72.87721,Equinox Business Park Tower 4,
NEARING COMPLETION,Navi Mumbai,OFFICE,YES,943,400708,2000000,2016-06-23T11:03:24Z,purpleyo,Airoli,"Gut 31, Thane Belpur Road, MIDC, Airoli, Navi Mumbai",19.171516,SALE,73.00133,Empire Tower,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1114,400021,225000,2016-05-10T09:25:48Z,purpleyo,Nariman Point,"Jamnalal Bajaj Road, Nariman Point, Mumbai",18.923983,LEASE,72.82224,Maker Chamber VI,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2986,400001,114000,2016-06-07T07:20:00Z,purpleyo,Fort,"# 1, VB Gandhi Marg, Kala Ghoda, Fort, Mumbai",18.928658,LEASE,72.833305,One Forbes,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2446,400102,105000,2016-03-21T08:48:32Z,purpleyo,Andheri West,"# 3, New Link Road, Veera Desai Industrial Estate, Andheri West, Mumbai",19.141468,LEASE,72.833786,Maplle Morya Classic,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,324,400098,52000,2016-06-28T12:46:26Z,purpleyo,Santacruz East,"CST Road, Kalina, Santacruz East, Mumbai",19.071589,LEASE/SALE,72.86245,Ajmera Summit,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,2915,400058,97568,2016-06-01T11:59:50Z,purpleyo,Andheri East,"# B-34, Andheri - Kurla Road, Mota Nagar, Andheri East, Mumbai",19.114447,SALE,72.86073,Rustomjee Commercial Spaces - Wing B,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3211,400056,143759,2016-05-20T13:00:22Z,purpleyo,Andheri East,"Makwana Road, Marol, Andheri East, Mumbai",19.108858,LEASE,72.88105,Vedanta,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3268,400062,13000,2016-05-25T12:33:46Z,purpleyo,Goregaon West,"Swami Vivekanand Road, Udyog Nagar, Goregaon West, Mumbai",19.218147,LEASE,72.85195,Poonam Heights,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,2366,500051,24000,2016-06-09T11:15:21Z,purpleyo,Bandra East,"Road Number 2, Gandhi Nagar, Bandra East, Mumbai",19.057383,LEASE/SALE,72.84747,Siddhivinayak Chambers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3113,400059,66000,2016-06-28T09:39:00Z,purpleyo,Andheri East,"# 785, Andheri Kurla Road, Marol Naka, Andheri East, Mumbai",19.107904,SALE,72.882324,Balaji Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3089,400058,72000,2016-06-07T07:16:45Z,purpleyo,Andheri East,"Parsi Panchayat Road Amba Wadi, Natwar Nagar, Andheri East, Mumbai",19.125515,SALE,72.85223,Royal Enclave,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,516,400093,48500,2016-05-11T12:33:46Z,purpleyo,Andheri East,"# C-10, Central Road, MIDC, Andheri East, Mumbai",19.123127,LEASE,72.87094,Sunrise Tower,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2451,400059,141935,2016-03-14T13:12:51Z,purpleyo,Andheri East,"Asan Pada Road, Mittal Industrial Estate, Marol, Sakinaka, Andheri East, Mumbai",19.104572,SALE,72.88047,Mittal Commercia,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3149,400072,56000,2016-05-17T08:37:15Z,purpleyo,Powai,"# 504, Saki Vihar Road, Chandivali, Powai, Mumbai",19.116114,LEASE,72.890465,Srishti Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3329,400062,56000,2016-06-03T12:59:46Z,purpleyo,Goregaon West,"MS Road, Laxmi Nagar, Goregaon West, Mumbai",19.161093,LEASE/SALE,72.83167,Shri Sai Corporate Park,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,427,400059,77800,2016-03-18T19:54:54Z,purpleyo,Andheri East,"Andheri-Kurla Road, Andheri East, Mumbai",19.108816,LEASE/SALE,72.88397,Ajmera Times Square Tower D,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2167,400701,234000,2016-03-04T12:31:08Z,purpleyo,Ghansoli,"MIDC, Ghansoli, Navi Mumbai",19.114395,LEASE,73.0143,Technocity Premises Block B,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2423,400101,8000,2016-05-27T05:56:09Z,purpleyo,Kandivali East,"Chakravarti Ashok Road, Govind Dalvi Nagar, Kandivali East, Mumbai",19.201607,LEASE,72.856316,Thakur House - Block A,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,605,400086,44079,2016-06-15T13:11:59Z,purpleyo,Ghatkopar West,"# 601 & 602, MG Road, Ghatkopar West, Mumbai",19.084576,SALE,72.90533,Sanghavi Square,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3110,400059,15000,2016-05-12T13:01:56Z,purpleyo,Andheri East,"Magan Nathuram Road, Mittal Industrial Estate, Marol, Andheri East, Mumbai",19.097734,LEASE,72.88323,Paradigm Business Centre,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1166,400604,390000,2016-04-11T09:53:28Z,purpleyo,Thane West,"# D-3, Road No 16, Wagle Industrial Estate, Thane West, Mumbai",19.19726,LEASE/SALE,72.95677,Kalpataru Prime,
COMPLETED AND OPERATIONAL,Mumbai,RETAIL,YES,3102,400058,200000,2016-06-07T07:15:06Z,purpleyo,Andheri East,"# 39, Road Number 13, Marol MIDC Industry Estate, Andheri East, Mumbai",19.121569,LEASE,72.870766,Rolta Tower One,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,578,400063,61000,2016-06-24T09:41:36Z,purpleyo,Malad East,"Pandit Jawaharlal Nehru Marg, Panch Bawadi, Malad East, Mumbai",19.176039,LEASE,72.85732,Garnet Paladium,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3193,400071,87624,2016-05-19T10:30:19Z,purpleyo,Chembur,"VN Purav Marg, Union Park, Chembur, Mumbai",19.046694,LEASE,72.90684,Shrikant Chambers II,
UNDER CONSTRUCTION,Navi Mumbai,OFFICE AND RETAIL,YES,3254,410206,20000,2016-06-07T06:55:13Z,purpleyo,Sonari,"Uran-Panvel Road, Sonari, Navi Mumbai",18.909319,LEASE,72.9869,Mahendra Prominent Business Center,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3074,400058,21400,2016-05-09T07:30:28Z,purpleyo,Andheri West,"# 22/24, Andheri Subway, Andheri West, Mumbai",19.124887,LEASE,72.84656,Business Point,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3174,400705,86000,2016-05-18T11:46:11Z,purpleyo,Vashi,"# 39/2, Bhagwan Mahaveer Road, Sector 30A, Vashi, Navi Mumbai",19.066326,LEASE,72.99924,Gami Real Tech Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3183,400050,4050,2016-05-18T12:56:36Z,purpleyo,Bandra West,"# 101, Hill Road, Bandra West, Mumbai",19.055243,LEASE,72.82981,Landmark,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3161,400703,6200,2016-07-01T12:43:19Z,purpleyo,Turbhe,"# 14, Sanpada Station, Bank Of India Road, Sector 24, Turbhe, Navi Mumbai",19.067875,LEASE,73.013626,Angruti,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,880,400079,825000,2016-04-14T10:06:08Z,purpleyo,Vikhroli West,"Park Site, Veer Savarkar Mark, Vikhroli West, Mumbai",19.109491,SALE,72.92575,Kailas Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3133,400058,44240,2016-06-30T10:39:39Z,purpleyo,Andheri West,"Veera Desai Road, Andheri West, Mumbai",19.127695,LEASE,72.837654,Kshitij,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,NO,3099,400059,98000,2016-06-28T09:38:02Z,purpleyo,Andheri East,"# F-21, Makwana Road, Marol, Andheri East, Mumbai",19.111507,LEASE,72.88123,Dhantak plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2487,400092,48000,2016-06-03T12:30:25Z,purpleyo,Borivali West,"Sundarabai Gangadhar Marg, Meghdoot, Hari Om Nagar, Borivali West, Mumbai",19.221125,LEASE/SALE,72.85337,,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3255,400059,360000,2016-05-24T13:11:07Z,purpleyo,Andheri East,"Andheri-Kurla Road, Vijay Nagar Colony West, Marol, Andheri East, Mumbai",19.110867,LEASE,72.87334,Leela Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2378,400062,15000,2016-06-08T07:18:21Z,purpleyo,Goregaon West,"# 14-A, Siddharth Nagar, SV Road, Goregaon West, Mumbai",19.161688,LEASE/SALE,72.84586,Wallfort House,
UNDER CONSTRUCTION,Mumbai,OFFICE,YES,2393,400051,338000,2016-06-28T12:46:46Z,purpleyo,Bandra Kurla Complex,"G Block, Bandra Kurla Complex, Mumbai",19.067383,LEASE,72.86649,INS Tower,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2554,400072,54000,2016-03-18T07:21:17Z,purpleyo,Andheri East,"Mehra Compound Road, Safed Pul, Sakinaka, Andheri East, Mumbai",19.099155,LEASE,72.88588,Trade Square Wing A,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,2902,400614,132000,2016-05-27T06:22:29Z,purpleyo,CBD Belapur,"Sector 15, CBD Belapur, Navi Mumbai",19.011257,LEASE,73.03508,Sai Sangam,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,561,400703,200000,2016-06-28T09:36:54Z,purpleyo,Nerul,"# D-222/28, Nerul, Navi Mumbai",19.071535,LEASE/SALE,73.028595,Asian Infotech Park,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3130,400614,10250,2016-05-18T05:55:44Z,purpleyo,CBD Belapur,"Gopinath Panda Patil Marg, Sector 15, CBD Belapur, Navi Mumbai",19.006706,LEASE,73.03284,Progressive Sea Lounge,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,459,400072,72400,2016-02-22T10:13:15Z,purpleyo,Powai,"Chandivali Farm Road, Powai, Mumbai",19.113089,SALE,72.89796,Nahar Business Center,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2153,400604,91300,2016-06-14T10:36:20Z,purpleyo,Wagle Industrail Area,"# A-112, Road Number 22, Wagle Industrial Area, Mumbai",19.194416,LEASE,72.95021,Coral Square,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,761,400059,300000,2016-05-18T09:24:49Z,purpleyo,Andheri East,"# 1498-A-2, M V Road, Marol, Andheri East, Mumbai",19.102627,LEASE,72.879745,The Qube,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3162,400050,49400,2016-06-07T07:08:27Z,purpleyo,Bandra West,"# 891, Road Number 24, Bandra West, Mumbai",19.0598,LEASE,72.83251,891 Notan Classic,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2565,400030,433580,2016-06-06T06:54:20Z,purpleyo,Worli ,"Pandurang Bhudkar Marg, Lower Parel, Worli, Mumbai",19.007446,LEASE,72.82486,Century Greenspan,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,NO,2335,400614,11200,2016-04-12T07:30:21Z,purpleyo,CBD Belapur,"# 52, Palm Beach Road, Sector 15, CBD Belapur, Navi Mumbai",19.00994,LEASE,73.032875,Arneja Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3128,400051,72720,2016-05-31T13:12:19Z,purpleyo,Bandra East,"Bandra Kurla Complex Road, Bandra East, Mumbai",19.05904,LEASE,72.85399,Vaibhav Chambers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3195,400069,570700,2016-05-27T09:48:13Z,purpleyo,Andheri East,"Andheri - Kurla Road, Chakala, Andheri East, Mumbai",19.116642,LEASE,72.857185,The Summit Business Bay,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,981,400072,456000,2016-06-02T12:42:34Z,purpleyo,Sakinaka,"Mathuradas Vassanji Road, Sakinaka, Mumbai",19.103285,LEASE,72.8847,Raiaskaran Tech Park - Tower 2,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,829,400072,1440000,2016-06-23T10:17:05Z,purpleyo,Andheri East,"Chandivali Farm Road, Chandivali, Andheri East, Mumbai",19.113766,SALE,72.89279,Kanakia Boomerang,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,2987,400012,9000,2016-06-07T07:21:24Z,purpleyo,Bhoiwada,"Kalyan Station Road, Surganga Society, Manik Colony, Bhoiwada, Mumbai",19.004889,LEASE,72.84563,Krishna Complex,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,1811,400098,14000,2016-02-15T07:00:54Z,purpleyo,Kalina,"CST Road, Vidya Nagari, Kalina, Santacruz East, Mumbai",19.073803,LEASE,72.860916,Emgeen Chambers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3091,400058,10500,2016-06-29T07:34:27Z,purpleyo,Andheri West,"# 37, Ambica Saw Mill Compound,  Bhardawadi Lane, Andheri West, Mumbai",19.126026,LEASE,72.84677,Shabnam Complex,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,18,400021,415000,2016-06-28T07:33:11Z,purpleyo,Nariman Point,"Barrister Rajni Patel Marg, Nariman Point, Mumbai",18.927887,LEASE,72.82205,Express Towers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3086,400059,125000,2016-06-30T12:52:58Z,purpleyo,Andheri East,"# 773, Makwana Road, Marol Naka, Andheri East, Mumbai",19.109854,LEASE/SALE,72.881355,Antariksh Thakur House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,2381,400067,9500,2016-05-23T12:10:56Z,purpleyo,Kandivali West,"Swami Vivekanand Road, Jethava Nagar, Kandivali West, Mumbai",19.204838,SALE,72.84959,,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3112,400059,84098,2016-05-25T12:38:02Z,purpleyo,Andheri East,"Lok Bharati Complex, Marol Maroshi Road, Andheri East, Mumbai",19.113659,LEASE,72.88063,AFL House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3258,400063,61500,2016-05-24T13:25:40Z,purpleyo,Goregaon East,"Station Road,Goregaon East, Jay Prakash Nagar, Goregaon, Mumbai",19.187298,LEASE,72.84989,Accord Classic,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2156,400615,75000,2016-05-20T12:03:44Z,purpleyo,Thane West,"Rosa Vista, Ghod Bundef Road, Thane West, Mumbai",19.255781,LEASE,72.97184,Rosa Vista,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,606,400614,240000,2016-05-18T09:18:18Z,purpleyo,CBD Belapur,"# 89 & 90, Sector 15, CBD Belapur, Navi Mumbai",19.010365,LEASE/SALE,73.03749,Mahaavir Icon,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3120,400053,108000,2016-06-27T13:09:36Z,purpleyo,Andheri West,"New Link Road, Andheri West, Mumbai",19.139889,SALE,72.83493,Crescent Royale,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3274,400059,42000,2016-06-07T06:42:18Z,purpleyo,Andheri West,"Veera Desai Industrial Estate, Andheri West, Mumbai",19.140844,LEASE,72.83338,Morya Landmark 1,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3197,400047,30800,2016-05-19T12:37:48Z,purpleyo,Andheri West,"# 2, New Link Road, Industrial Area, Andheri West, Mumbai",19.135502,LEASE,72.832306,Kotia Nirman,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1058,400063,1430000,2016-06-28T10:56:19Z,purpleyo,Goregaon East,"Ram Mandir Lane, Jai Coach Junction, Goregaon East, Mumbai",19.145,LEASE/SALE,72.85331,Lotus Corporate Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3081,400071,35200,2016-06-29T12:18:38Z,purpleyo,Chembur,"Sindhi Society, Chembur East, Chembur, Mumbai",19.053816,LEASE,72.89025,Eastern Court,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3087,400058,125000,2016-06-30T12:53:24Z,purpleyo,Andheri East,"# 777, Makwana Road, Marol Naka, Andheri East, Mumbai",19.109625,LEASE/SALE,72.88182,Jai Antariksh,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3146,400071,25000,2016-07-01T10:45:50Z,purpleyo,Chembur,"# 1 & 2, Chembur Station Road, Chembur, Mumbai",19.063793,SALE,72.897575,The Central,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,784,400005,50000,2016-05-26T07:16:44Z,purpleyo,Cuffe Parade,"The Arcade, Cuffe Parade, Mumbai",18.914186,LEASE,72.8182,World Trade Centre - The Arcade,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1112,400021,215000,2016-06-20T12:25:41Z,purpleyo,Nariman Point,"Jamnalal Bajaj Road, Nariman Point, Mumbai",18.924326,LEASE,72.82265,Maker Chamber V,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,871,400051,212000,2016-05-11T07:14:18Z,purpleyo,Bandra Kurla Complex,"# C-53, G Block, Bandra Kurla Complex, Bandra East, Mumbai",19.067429,LEASE,72.86978,TCG Financial Center,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3125,400705,80000,2016-06-28T10:57:27Z,purpleyo,Sanpada,"Sunshine CHS, Sector 30A, Sanpada, Navi Mumbai",19.06649,LEASE,73.00828,G Square Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2724,400013,508074,2016-06-01T13:13:36Z,purpleyo,Lower Parel,"Senapati Bapat Marg, Babasaheb Ambedkar Nagar, Lower Parel, Mumbai",19.00995,LEASE,72.83502,Indiabulls Finance Centre - Tower 1,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,698,400053,207000,2016-06-23T09:36:05Z,purpleyo,Andheri East,"Andheri Kurla Road, Mota Nagar, Andheri West, Mumbai",19.114815,LEASE,72.857376,Chintamani Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3156,400025,217500,2016-05-17T13:11:46Z,purpleyo,Prabhadevi,"# 1091, Sea Breeze, Appasaheb Marathe Marg, Prabhadevi, Mumbai",19.012783,LEASE,72.82789,Sea Breeze,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3192,400059,26250,2016-05-19T10:26:39Z,purpleyo,Andheri East,"Andheri Kurla Road, Andheri East, Mumbai",19.110485,LEASE,72.87417,Shree Amba Shanti Chambers,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,3136,400071,127062,2016-05-16T10:20:17Z,purpleyo,Chembur,"Postal Colony Road, Postal Colony, Chembur, Mumbai",19.060335,SALE,72.89612,Signature Business Park,
UNDER CONSTRUCTION,Navi Mumbai,OFFICE AND RETAIL,YES,3250,410206,27000,2016-05-24T12:59:14Z,purpleyo,Panvel,"MCCH Society, Vasudev Balwant Phadke Road, New Panvel, Navi Mumbai",18.988346,LEASE,73.11462,Mahendra Yug Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2713,400013,570000,2016-06-01T13:16:41Z,purpleyo,Lower Parel,"# 841, Senapati Bapat Marg, Lower Parel, Mumbai",19.006783,LEASE,72.83223,One Indiabulls Centre - Tower 1,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO CAN BE PROVIDED,2493,400030,38000,2016-06-03T12:37:44Z,purpleyo,Worli ,"Dr Annie Besant Road, Municipal Colony, Worli Shivaji Nagar, Worli, Mumbai",19.012136,LEASE,72.82144,Vaswani Chambers Wing B,
