city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4554468,05/25/2016,Commercial: Showrooms/Shops,283,Dombivali East,immediate,Sulekha,17 lakhs,Sale,Commercial,Kapdi,
Mumbai,4393815,06/02/2016,Industrial Space,8000,Khalapur,New,Sulekha,,Sale,Residential,Aptiva Properties,
Mumbai,4573766,05/31/2016,Commercial: Showrooms/Shops,150,Virar East,New,Sulekha,11.25 lakhs,Sale,Commercial,SN Properties,Disha Enclave
Mumbai,4296887,06/20/2016,Commercial: Office Space,4365,Andheri East,immediate,Sulekha,5.45 crores,Sale,Commercial,Hiren,
Mumbai,4234909,06/06/2016,Commercial: Showrooms/Shops,185,Vangani,immediate,Sulekha,8 lakhs,Sale,Commercial,manik constructions,
Mumbai,4566449,05/28/2016,Commercial: Showrooms/Shops,195,Mira Road,nov 2016,Sulekha,29.26 lakhs,Sale,Commercial,yusuf khan,
Mumbai,4349653,04/27/2016,Commercial: Office Space,675,Thane,apr 2016,Sulekha,58 lakhs,Sale,Commercial,Gaurav Mathur,
Mumbai,4467281,04/28/2016,Commercial: Showrooms/Shops,200,Nalasopara West,immediate,Sulekha,16 lakhs,Sale,Commercial,evergreen enterprises,
Mumbai,4469850,04/29/2016,Commercial: Showrooms/Shops,272,Andheri East,jun 2018,Sulekha,73.45 lakhs,Sale,Commercial,Rajesh N Shah,
Mumbai,4255737,05/12/2016,Commercial: Showrooms/Shops,234,Dombivali East,Immediate,Sulekha,12.64 lakhs,Sale,Commercial,Vedant Group of Property,
Mumbai,4619167,06/17/2016,Commercial: Office Space,459,Vikhroli West,immediate,Sulekha,61.97 lakhs,Sale,Commercial,Mr Gurdeep Singh,
Mumbai,4597376,06/08/2016,Commercial: Office Space,795,Thane,immediate,Sulekha,1.7 crores,Sale,Commercial,mulchand gala,
Mumbai,4354632,05/20/2016,Commercial: Showrooms/Shops,3500,Manpada,apr 2016,Sulekha,10 crores,Sale,Commercial,LG Propertiez,
Mumbai,4352888,05/26/2016,Commercial: Office Space,520,Nariman Point,immediate,Sulekha,2.08 crores,Sale,Commercial,Kale,
Mumbai,4427318,06/13/2016,Commercial: Office Space,950,Andheri East,immediate,Sulekha,1.25 crores,Sale,Commercial,V K Realty,
Mumbai,4102390,05/23/2016,Commercial: Showrooms/Shops,220,Ambernath West,dec 2016,Sulekha,14.85 lakhs,Sale,Commercial,R S Enterprises,
Mumbai,4096339,06/10/2016,Commercial: Showrooms/Shops,245,Nalasopara West,immediate,Sulekha,17.15 lakhs,Sale,Commercial,pravin,
Mumbai,4255637,06/14/2016,Commercial: Showrooms/Shops,168,Karjat,Aug  2016,Sulekha,13.44 lakhs,Sale,Commercial,Shagun Enterprises,
Mumbai,4515556,05/11/2016,Commercial: Showrooms/Shops,650,Palghar West,New,Sulekha,22.75 lakhs,Sale,Commercial,Bhagvati Constructions,Nidhi Palace
Mumbai,4515789,05/11/2016,Commercial: Showrooms/Shops,533,Neral,Immediate,Sulekha,15.99 lakhs,Sale,Commercial,Shubh Laxmi Infra,
Mumbai,3724715,06/14/2016,Commercial: Showrooms/Shops,174,Dombivali East,immediate,Sulekha,15.57 lakhs,Sale,Commercial,Jai Ambe Enterprises,
Mumbai,4181806,05/22/2016,Commercial: Office Space,450,Dombivali East,New,Sulekha,33.75 lakhs,Sale,Commercial,D P Homes,Swastik Floresta
Mumbai,4126423,04/27/2016,Commercial: Office Space,503,Malad West,immediate,Sulekha,67 lakhs,Sale,Commercial,GANDHI PROPERTYS,
Mumbai,3823649,06/07/2016,Commercial: Office Space,1200,Khar West,immediate,Sulekha,2.8 crores,Sale,Commercial,Ganesh Padhy,
Mumbai,4046990,05/17/2016,Commercial: Office Space,880,Chakala,dec 2015,Sulekha,1.3 crores,Sale,Commercial,Pankaj Chitalia,
Mumbai,3986488,05/13/2016,Commercial: Others,3000,Mulund Colony,immediate,Sulekha,14 crores,Sale,Commercial,vastu aura,
Mumbai,4346567,05/18/2016,Commercial: Office Space,1420,Andheri East,Immediate,Sulekha,1.35 lakhs,Sale,Commercial,Citi Limit Estate Consultants,
Mumbai,4023983,04/30/2016,Commercial: Showrooms/Shops,375,Santacruz East,apr 2016,Sulekha,1.2 crores,Sale,Commercial,Vikramjoshi,
Mumbai,4559149,05/26/2016,Commercial: Showrooms/Shops,700,Kalina,New,Sulekha,2.1 crores,Sale,Commercial,Raj Real Estate Consultant,
Mumbai,4590852,06/06/2016,Commercial: Warehouse/Godown,725,Vasai Road East,immediate,Sulekha,26.1 lakhs,Sale,Commercial,Pankaj Soni,
Mumbai,4354637,05/20/2016,Commercial: Showrooms/Shops,275,Thane,immediate,Sulekha,1.25 crores,Sale,Commercial,Shree Radha Krishna Real Estate Agency,
Mumbai,4349518,05/02/2016,Commercial: Office Space,330,Thane,Immediate,Sulekha,45 lakhs,Sale,Commercial,Samrin Group Of Companies,
Mumbai,4437348,06/17/2016,Commercial: Office Space,700,Bhandup West,dec 2016,Sulekha,90 lakhs,Sale,Commercial,Rakesh Singh,
Mumbai,4393090,06/02/2016,Commercial: Office Space,700,Andheri East,immediate,Sulekha,1.25 crores,Sale,Commercial,Hillsboro Realty,
Mumbai,4272386,05/11/2016,Commercial: Showrooms/Shops,1400,Shivaji Park,immediate,Sulekha,8 crores,Sale,Commercial,SANJAYKATHAR,
Mumbai,4459295,04/26/2016,Commercial: Office Space,675,Thane,Immediate,Sulekha,50 lakhs,Sale,Commercial,Space Orbeat Properties,
Mumbai,4325158,05/12/2016,Commercial: Office Space,555,Goregaon East,immediate,Sulekha,78 lakhs,Sale,Commercial,Rajesh,
Mumbai,4427284,06/13/2016,Commercial: Office Space,907,Andheri East,immediate,Sulekha,1.45 crores,Sale,Commercial,V K Realty,
Mumbai,4487270,05/05/2016,Commercial: Showrooms/Shops,280,Virar West,New,Sulekha,22.4 lakhs,Sale,Commercial,Aryan Enterprises,
Mumbai,4582138,06/03/2016,Commercial: Showrooms/Shops,995,Badlapur West,immediate,Sulekha,39.8 lakhs,Sale,Commercial,Mr Rakesh and Mr Chander,
Mumbai,4176139,05/04/2016,Commercial: Showrooms/Shops,350,Virar West,immediate,Sulekha,29.75 lakhs,Sale,Commercial,ganesh girane,
Mumbai,4067317,05/29/2016,Commercial: Others,12000,Badlapur West,immediate,Sulekha,3.6 crores,Sale,Commercial,Devikrupa Enterprises,
Mumbai,4234911,06/06/2016,Commercial: Showrooms/Shops,250,Vangani,Jun  2017,Sulekha,11.25 lakhs,Sale,Commercial,manik constructions,
Mumbai,4255740,05/12/2016,Commercial: Showrooms/Shops,285,Dombivali East,Immediate,Sulekha,15.39 lakhs,Sale,Commercial,Vedant Group of Property,
Mumbai,4349643,06/20/2016,Commercial: Office Space,490,Vikhroli West,immediate,Sulekha,68.6 lakhs,Sale,Commercial,Gaurav Mathur,
Mumbai,4580137,06/02/2016,Commercial: Showrooms/Shops,300,Vasai Road East,immediate,Sulekha,30 lakhs,Sale,Commercial,evergreen enterprises,
Mumbai,4319088,05/09/2016,Commercial: Office Space,310,Malad West,immediate,Sulekha,47.43 lakhs,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,4255638,06/14/2016,Commercial: Showrooms/Shops,180,Karjat,Aug  2016,Sulekha,14.4 lakhs,Sale,Commercial,Shagun Enterprises,
Mumbai,4515787,05/11/2016,Commercial: Showrooms/Shops,283,Neral,apr 2018,Sulekha,16.98 lakhs,Sale,Commercial,Shubh Laxmi Infra,
Mumbai,4181807,05/22/2016,Commercial: Office Space,480,Dombivali East,New,Sulekha,36 lakhs,Sale,Commercial,D P Homes,Swastik Floresta
Mumbai,4102785,05/23/2016,Commercial: Showrooms/Shops,220,Ambernath West,may 2017,Sulekha,15.84 lakhs,Sale,Commercial,R.S Enterprises,
Mumbai,4576650,06/01/2016,Commercial: Office Space,280,Vasai Road East,immediate,Sulekha,33 lakhs,Sale,Commercial,Pankaj Soni,
Mumbai,3726220,06/14/2016,Commercial: Showrooms/Shops,173,Dombivali East,Immediate,Sulekha,15.57 lakhs,Sale,Commercial,Jai Ambe Enterprises,
Mumbai,4427332,06/13/2016,Commercial: Office Space,970,Andheri East,immediate,Sulekha,1.55 crores,Sale,Commercial,V K Realty,
Mumbai,4229176,06/05/2016,Commercial: Office Space,2000,Andheri East,immediate,Sulekha,,Sale,Commercial,Vikramjoshi,
Mumbai,4529015,06/12/2016,Commercial: Showrooms/Shops,340,Vasai Road East,immediate,Sulekha,20.4 lakhs,Sale,Commercial,Sania Estate Agency,
Mumbai,3802303,05/26/2016,Commercial: Office Space,500,Bandra West,immediate,Sulekha,3 crores,Sale,Commercial,Ganesh Padhy,
