quality1,quality2,quality3,data_id,Building_name,config_type,Selling_price,Monthly_Rent,price_per_sqft,lat,longt,platform,city,listing_date,txn_type,property_type,locality,Bua_sqft,Status,listing_by,name_lister,Details,address,price_on_req,sublocality,age,google_place_id,Possession,Launch_date,mobile_lister,areacode,management_by_landlord,carpet_area,updated_date
1,,1,5317321,Project Bandra,3BHK,55019800.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,1958,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,1179,03/22/2016 09:21:27
1,,1,5317322,Project Bandra,3BHK,59824900.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,2129,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,1282,03/22/2016 09:21:27
1,,1,5317323,Project Bandra,3BHK,60190200.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,2142,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,1290,03/22/2016 09:21:27
1,,1,5317324,Project Bandra,3BHK,64798600.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:29,sale,Apartment,worli to andheri,2306,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,1389,03/22/2016 09:21:27
1,,1,5317325,Project Bandra,4BHK,74746000.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:30,sale,Apartment,worli to andheri,2660,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,1602,03/22/2016 09:21:27
1,,1,5317326,Project Bandra,4BHK,94753200.0,0,26965.3117,19.0533371,72.84757233,tigerprop,Mumbai,10/12/2015 06:39:30,sale,Apartment,worli to andheri,3372,Pre Launch,radius developers,None,None,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",false,Bandra East,None,None,11/30/2019 18:30:00,,None,50324,None,2031,03/22/2016 09:21:27
1,,1,5058610,Treon,2BHK,26993250.0,0,20437.3527,19.02914047,72.87941742,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,mumbai harbour,1395,Under Construction,Ajmera,None,None,"Bhakti Park, Near I Max Dome Theatre, Wadala (East), Mumbai",false,Wadala,None,None,11/30/2019 18:30:00,,None,50035,None,895,07/15/2016 00:54:56
1,,1,5058611,Treon,3BHK,45279000.0,0,20437.3527,19.02914047,72.87941742,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,mumbai harbour,2340,Under Construction,Ajmera,None,None,"Bhakti Park, Near I Max Dome Theatre, Wadala (East), Mumbai",false,Wadala,None,None,11/30/2019 18:30:00,,None,50035,None,1563,07/15/2016 00:54:56
1,,1,5058612,Treon,4BHK,63564750.0,0,20437.3527,19.02914047,72.87941742,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,mumbai harbour,3285,Under Construction,Ajmera,None,None,"Bhakti Park, Near I Max Dome Theatre, Wadala (East), Mumbai",false,Wadala,None,None,11/30/2019 18:30:00,,None,50035,None,2238,07/15/2016 00:54:56
1,,1,5056887,Atlantis,2BHK,12120000.0,0,9570.6476,19.11955833,72.99305725,tigerprop,Mumbai,11/13/2013 18:07:44,sale,Apartment,navi mumbai,1200,Under Construction,B and M Buildcon,None,None,"Plot No. 5, Sector-11, Ghansoli, Navi Mumbai",false,Ghansoli,None,None,11/30/2016 18:30:00,,None,51191,None,0,05/18/2016 01:03:39
