city,listing_id,listing_date,property_subtype,sqft,locality,configtype,platform,Selling_Price,txn_type,property_type,listing_by,Building_Name
Mumbai,4597889,06/30/2016,Apartments / Flats,469,Kandivali East,1 BHK,Sulekha,6000000.0,Sale,Residential,Santosh Shukla,Suhas Modi
Mumbai,4255737,05/12/2016,Commercial: Showrooms/Shops,234,Dombivali East,,Sulekha,1264000.0,Sale,Commercial,Vedant Group of Property,
Mumbai,4616525,06/14/2016,Apartments / Flats,395,Badlapur East,1 RK,Sulekha,1066000.0,Sale,Residential,Sarvopari Sahara,Satyam Sheela
Mumbai,4384811,05/29/2016,Apartments / Flats,1700,Borivali East,3 BHK,Sulekha,16000000.0,Sale,Residential,SunShine Property experts,
Mumbai,4323896,05/11/2016,Apartments / Flats,1250,Andheri West,2 BHK,Sulekha,20000000.0,Sale,Residential,RAKESH JAISWAL,Neminath
Mumbai,4393815,06/02/2016,Industrial Space,8000,Khalapur,New,Sulekha,,Sale,Residential,Aptiva Properties,
Mumbai,4426345,06/13/2016,Apartments / Flats,692,Chembur East,2 BHK,Sulekha,22799999.999999996,Sale,Residential,Ayush Real Estate,
Mumbai,4536570,05/19/2016,Commercial: Office Space,30000,Khopat,,Sulekha,3300000.0,Sale,Commercial,Novaspace Reality Pvt Ltd,
Mumbai,4395092,06/22/2016,Apartments / Flats,1566,Goregaon East,2 BHK,Sulekha,22500000.0,Sale,Residential,Papillon Estate,DN Woods
Mumbai,4249996,07/02/2016,Apartments / Flats,636,Khopoli,1 BHK,Sulekha,1950000.0,Sale,Residential,Promise land,Omkar Pride
Mumbai,4246362,06/11/2016,Apartments / Flats,900,Bandra West,2 BHK,Sulekha,42500000.0,Sale,Residential,Lakhani Realtors,
Mumbai,4009251,06/28/2016,Apartments / Flats,400,Kandivali East,1 BHK,Sulekha,5700000.0,Sale,Residential,My Home Estate Consultant,
Mumbai,4465121,06/24/2016,Apartments / Flats,675,Mira Road,1 BHK,Sulekha,4725000.0,Sale,Residential,home of heaven real estate,G.N. Residency
Mumbai,4601083,06/09/2016,Apartments / Flats,414,Mira Road,1 RK,Sulekha,1967000.0000000002,Sale,Residential,ashok,
Mumbai,4180193,05/16/2016,Apartments / Flats,1135,Ghatkoparwest,2 BHK,Sulekha,15000000.0,Sale,Residential,Ameet Motwani,
Mumbai,4676812,07/01/2016,Apartments / Flats,675,Dombivali East,1 BHK,Sulekha,3200000.0,Sale,Residential,vikash kumar jha,Versatile Valley
Mumbai,4045026,05/17/2016,Apartments / Flats,350,Vangani,1 RK,Sulekha,788000.0,Sale,Residential,Swaraj Properties,
Mumbai,4281474,06/24/2016,Apartments / Flats,800,Andheri East,1 BHK,Sulekha,8400000.0,Sale,Residential,Arpit,
Mumbai,4561333,06/19/2016,Apartments / Flats,490,Vasai Road East,1 RK,Sulekha,800000.0,Sale,Residential,nitin kanade,vashnavi residency
Mumbai,4148775,05/17/2016,Apartments / Flats,454,Badlapur East,1 RK,Sulekha,1476000.0,Sale,Residential,Prathamesh padwal  and kantilal choudhari,Panvelkar Optima
Mumbai,4082686,06/06/2016,Apartments / Flats,525,Kandivali East,1 BHK,Sulekha,7500000.0,Sale,Residential,Jitin,
Mumbai,4519287,05/12/2016,Apartments / Flats,445,Deonar,1 BHK,Sulekha,6700000.0,Sale,Residential,Wadhwani,Roswalt Heights
Mumbai,4579223,06/02/2016,Builder/Independent Floors,775,Goregaon West,1 BHK,Sulekha,12300000.0,Sale,Residential,Maa Sharda Enterprises,
Mumbai,4085147,05/20/2016,Apartments / Flats,650,Dahisar East,1 BHK,Sulekha,6500000.0,Sale,Residential,geeta estate agency,
